ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
64,21,18.82,7.67,2.82,25.77,10.5,19.05,90.48,71.43,9.52,4.76,0,4.76,0,0,0,4.76,9.52,9.52,23.81,0,4.76,14.29,33.33,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,28.57,0,14.29,4.76,0,0,9.52,0,0,0,0,0,0,0,0,0,9.52,4.76,0,4.76,0,0,0,23.81,4.76,4.76,0,4.76,0,0,0,4.76,0,0,4.76,0,0,0,0,0,0,9.52,4.76,0,0,0,0,4.76,0,0,0,0,0
66,10,52.71,15.86,1,1,10,20,80,60,10,0,0,0,0,0,0,10,10,10,10,0,10,10,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
69,13,82.82,50,63.54,25.77,13,23.08,69.23,38.46,7.69,0,0,0,0,0,0,7.69,0,15.38,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,15.38,0,0,0,0,7.69,23.08,0,23.08,0,0,0,7.69,0,0,0,7.69,0,0,7.69,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0
80,16,38.6,96.95,1,25.77,16,6.25,87.5,43.75,12.5,12.5,0,0,0,0,12.5,0,0,12.5,6.25,6.25,12.5,0,31.25,0,0,0,0,0,12.5,6.25,6.25,0,0,0,18.75,0,0,0,0,18.75,0,6.25,12.5,0,0,0,0,0,0,0,6.25,0,6.25,0,0,12.5,0,6.25,6.25,6.25,0,6.25,18.75,0,6.25,0,6.25,0,0,0,0,0,0,6.25,6.25,0,0,6.25,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
110,31,4.2,37.35,2.96,1,15.5,16.13,90.32,74.19,12.9,6.45,0,0,0,0,6.45,6.45,16.13,9.68,16.13,16.13,12.9,12.9,16.13,0,0,3.23,0,0,6.45,0,6.45,0,0,0,9.68,0,0,0,0,22.58,0,9.68,6.45,0,6.45,0,0,0,0,0,0,0,0,0,0,9.68,0,3.23,6.45,0,0,0,6.45,3.23,16.13,0,9.68,6.45,0,0,3.23,0,0,0,0,0,0,0,0,0,12.9,3.23,0,0,0,0,0,0,0,9.68,0,0
118,21,11.05,92.33,37.24,1,5.25,9.52,76.19,38.1,14.29,9.52,0,0,9.52,0,0,4.76,0,0,14.29,4.76,0,4.76,14.29,0,0,0,4.76,4.76,9.52,0,9.52,0,4.76,0,9.52,0,0,0,0,28.57,19.05,14.29,0,4.76,4.76,0,4.76,0,0,4.76,0,0,0,0,0,9.52,0,0,4.76,0,4.76,0,9.52,9.52,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,33.33,14.29,0,14.29,0,0,4.76,0,0,0,0,0
182,19,49.71,29.92,4.05,99,19,10.53,78.95,52.63,5.26,5.26,0,0,0,0,5.26,0,15.79,0,10.53,0,15.79,5.26,31.58,0,0,0,0,0,10.53,10.53,0,0,0,0,5.26,0,0,0,0,15.79,0,5.26,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,10.53,0,10.53,0,10.53,0,10.53,15.79,0,10.53,10.53,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,15,18.82,50,10.08,1,5,6.67,86.67,60,13.33,6.67,0,0,0,0,6.67,6.67,6.67,6.67,20,0,6.67,6.67,20,0,0,0,0,0,13.33,0,13.33,0,0,0,6.67,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,13.33,0,20,6.67,6.67,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
206,12,1.92,99,1,1,12,25,83.33,50,25,25,0,0,0,0,25,0,0,0,8.33,0,16.67,0,16.67,0,0,0,0,8.33,8.33,0,8.33,0,0,8.33,25,0,0,0,0,16.67,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
207,6,1.92,50,1,25.77,3,16.67,83.33,50,16.67,16.67,0,0,0,0,16.67,0,0,0,0,0,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,33.33,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,16.67,0,0,0,0,0
244,10,1,50,1,25.77,10,20,100,70,20,10,0,0,0,0,10,10,0,0,20,0,20,10,20,10,0,0,0,0,20,10,10,0,10,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
255,70,64.59,15.86,26,1,14,11.43,85.71,62.86,7.14,4.29,0,0,0,0,4.29,2.86,10,15.71,12.86,7.14,10,4.29,14.29,1.43,2.86,1.43,0,5.71,4.29,0,4.29,0,1.43,0,4.29,0,0,0,0,18.57,0,1.43,7.14,4.29,4.29,10,0,0,0,0,0,0,0,0,0,11.43,0,2.86,7.14,1.43,0,0,7.14,4.29,14.29,1.43,11.43,1.43,0,0,0,0,2.86,0,0,0,0,0,0,0,8.57,7.14,1.43,0,0,0,0,0,0,0,0,0
264,39,5.31,39.87,8.65,1,19.5,17.95,89.74,64.1,12.82,10.26,2.56,0,0,0,7.69,2.56,2.56,7.69,20.51,2.56,12.82,5.13,28.21,0,0,2.56,0,0,5.13,0,5.13,0,0,2.56,12.82,0,0,0,0,28.21,5.13,7.69,10.26,5.13,2.56,7.69,0,0,0,0,2.56,0,2.56,0,0,7.69,0,2.56,5.13,0,2.56,0,17.95,5.13,7.69,0,5.13,2.56,0,0,0,0,5.13,0,0,0,0,0,0,0,2.56,2.56,0,0,0,0,0,0,0,0,0,0
272,20,15.77,15.86,1,96.76,6.67,15,80,65,10,5,0,0,0,0,5,5,5,10,10,5,15,10,20,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,15,0,5,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
337,18,97.07,71.09,4.97,1,18,16.67,83.33,50,0,0,0,0,0,0,0,0,5.56,22.22,11.11,0,5.56,5.56,11.11,0,0,0,0,0,11.11,0,11.11,0,0,0,16.67,0,0,0,0,27.78,0,11.11,11.11,0,0,5.56,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0
338,17,74.42,27.83,1,25.77,5.67,23.53,82.35,58.82,0,0,0,0,0,0,0,0,11.76,11.76,17.65,0,11.76,5.88,29.41,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,17.65,0,5.88,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,11.76,0,11.76,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41,5.88,0,0,0,0,23.53,0,0,0,0,0
348,5,1,50,1,25.77,5,20,100,80,20,20,0,0,0,0,20,0,0,0,20,0,20,20,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
366,8,72.69,10.58,7.84,25.77,8,25,100,62.5,0,0,0,0,0,0,0,0,12.5,12.5,12.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,37.5,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0
376,62,28.19,62.65,13.99,1.23,10.33,4.84,93.55,53.23,14.52,1.61,0,0,0,0,1.61,12.9,6.45,6.45,17.74,4.84,3.23,1.61,19.35,11.29,9.68,3.23,3.23,9.68,3.23,0,3.23,0,0,0,6.45,0,0,0,0,17.74,6.45,11.29,3.23,0,1.61,1.61,0,0,0,0,0,0,0,0,0,4.84,0,1.61,3.23,0,0,0,14.52,1.61,9.68,1.61,1.61,6.45,0,1.61,1.61,1.61,0,0,0,0,0,0,0,0,11.29,9.68,1.61,0,0,0,0,0,0,0,0,0
